name,year,genre,runtime,rating,num_votes,revenue,director,actor1,actor2,actor3,rated
liar liar,1997,Comedy,86,6.8,177387,181000000.0,Tom Shadyac,Jim Carrey,Maura Tierney,Justin Cooper,TV_PG
jurassic park iii,2001,Action,92,5.9,162514,181000000.0,Joe Johnston,Sam Neill,William H. Macy,T̩a Leoni,PG_13
thor,2011,Action,115,7,395534,181000000.0,Kenneth Branagh,Chris Hemsworth,Anthony Hopkins,Natalie Portman,PG_13
mission: impossible,1996,Action,110,7.1,239424,181000000.0,Brian De Palma,Tom Cruise,Jon Voight,Emmanuelle B̩art,PG_13
planet of the apes,2001,Action,119,5.7,158323,180000000.0,Tim Burton,Mark Wahlberg,Helena Bonham Carter,Tim Roth,PG_13
planet of the apes,1968,Adventure,112,8,121303,180000000.0,Tim Burton,Mark Wahlberg,Helena Bonham Carter,Tim Roth,PG_13
madagascar: escape 2 africa,2008,Animation,89,6.7,108748,180000000.0,Eric Darnell,Tom McGrath,Ben Stiller,Chris Rock,PG
x-men origins: wolverine,2009,Action,107,6.7,273384,180000000.0,Gavin Hood,Hugh Jackman,Liev Schreiber,Ryan Reynolds,PG_13
indiana jones and the temple of doom,1984,Action,118,7.6,254157,180000000.0,Steven Spielberg,Harrison Ford,Kate Capshaw,Jonathan Ke Quan,PG
top gun,1986,Action,110,6.8,182437,180000000.0,Tony Scott,Tom Cruise,Tim Robbins,Kelly McGillis,PG
men in black 3,2012,Action,106,6.9,212669,179000000.0,Barry Sonnenfeld,Will Smith,Tommy Lee Jones,Josh Brolin,PG_13
pretty woman,1990,Comedy,119,6.9,172862,178000000.0,Garry Marshall,Richard Gere,Julia Roberts,Jason Alexander,R
hitch,2005,Comedy,118,6.7,209953,178000000.0,Andy Tennant,Will Smith,Eva Mendes,Kevin James,TV_14
night at the museum: battle of the smithsonian,2009,Action,105,5.9,97220,177000000.0,Shawn Levy,Ben Stiller,Owen Wilson,Amy Adams,PG
tootsie,1982,Comedy,116,7.4,67755,177000000.0,Sydney Pollack,Dustin Hoffman,Jessica Lange,Teri Garr,R
how to train your dragon 2,2014,Animation,102,8.1,112126,177000000.0,Dean DeBlois,Jay Baruchel,Cate Blanchett,Gerard Butler,PG
rise of the planet of the apes,2011,Action,105,7.6,328480,177000000.0,Rupert Wyatt,James Franco,Andy Serkis,Freida Pinto,PG_13
captain america: the first avenger,2011,Action,124,6.8,347778,177000000.0,Joe Johnston,Chris Evans,Hugo Weaving,Samuel L. Jackson,PG_13
the karate kid,1984,Action,126,7.2,101035,177000000.0,Harald Zwart,Jackie Chan,Jaden Smith,Taraji P. Henson,PG
the karate kid,2010,Action,140,6.2,98508,177000000.0,Harald Zwart,Jackie Chan,Jaden Smith,Taraji P. Henson,PG
ice age,2002,Animation,81,7.6,258008,176000000.0,Chris Wedge,Carlos Saldanha,Denis Leary,John Leguizamo,TV_PG
the bourne supremacy,2004,Action,108,7.8,278623,176000000.0,Paul Greengrass,Matt Damon,Franka Potente,Joan Allen,PG_13
crocodile dundee,1986,Adventure,97,6.5,66913,175000000.0,Peter Faiman,Paul Hogan,Linda Kozlowski,John Meillon,PG_13
home alone 2: lost in new york,1992,Adventure,120,6.5,146188,174000000.0,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,PG
elf,2003,Comedy,97,6.9,117193,173000000.0,Jon Favreau,Will Ferrell,James Caan,Bob Newhart,PG
national treasure,2004,Action,131,6.9,217942,173000000.0,Jon Turteltaub,Nicolas Cage,Diane Kruger,Justin Bartha,PG
rain man,1988,Drama,133,8,336105,173000000.0,Barry Levinson,Dustin Hoffman,Tom Cruise,Valeria Golino,R
air force one,1997,Action,124,6.4,126528,173000000.0,Wolfgang Petersen,Harrison Ford,Gary Oldman,Glenn Close,R
tron: legacy,2010,Action,125,6.8,226674,172000000.0,Joseph Kosinski,Jeff Bridges,Garrett Hedlund,Olivia Wilde,PG
the matrix,1999,Action,136,8.7,942576,171000000.0,Andy Wachowski,Lana Wachowski,Keanu Reeves,Laurence Fishburne,R
