Fatal Attraction,157000000.0,Adrian Lyne,Michael Douglas,Glenn Close,Anne Archer,R
What Lies Beneath,155000000.0,Robert Zemeckis,Harrison Ford,Michelle Pfeiffer,Katharine Towne,PG_13
The Mummy,155000000.0,Stephen Sommers,Brendan Fraser,Rachel Weisz,John Hannah,PG_13
Snow White and the Huntsman,155000000.0,Rupert Sanders,Kristen Stewart,Chris Hemsworth,Charlize Theron,PG_13
Fast & Furious,155000000.0,Justin Lin,Vin Diesel,Paul Walker,Michelle Rodriguez,PG_13
Over the Hedge,155000000.0,Tim Johnson,Karey Kirkpatrick,Bruce Willis,Garry Shandling,PG
Fantastic Four,155000000.0,Tim Story,Ioan Gruffudd,Michael Chiklis,Chris Evans,PG_13
Horton Hears a Who!,155000000.0,Jimmy Hayward,Steve Martino,Jim Carrey,Steve Carell,G
Who Framed Roger Rabbit,154000000.0,Robert Zemeckis,Bob Hoskins,Christopher Lloyd,Joanna Cassidy,TV_14
Beverly Hills Cop II,154000000.0,Tony Scott,Eddie Murphy,Judge Reinhold,JÃ¼rgen Prochnow,R
Jerry Maguire,154000000.0,Cameron Crowe,Tom Cruise,Cuba Gooding Jr.,RenÃ©e Zellweger,R
Scooby-Doo,153000000.0,Raja Gosnell,Matthew Lillard,Freddie Prinze Jr.,Sarah Michelle Gellar,PG
101 Dalmatians,153000000.0,Clyde Geronimi,Hamilton Luske,Rod Taylor,Betty Lou Gerson,G
Sex and the City,153000000.0,Michael Patrick King,Sarah Jessica Parker,Kim Cattrall,Cynthia Nixon,R
Runaway Bride,152000000.0,Garry Marshall,Julia Roberts,Richard Gere,Joan Cusack,PG
Divergent,151000000.0,Neil Burger,Shailene Woodley,Theo James,Kate Winslet,PG_13
Rambo: First Blood Part II,150000000.0,George P. Cosmatos,Sylvester Stallone,Richard Crenna,Charles Napier,R
We're the Millers,150000000.0,Rawson Marshall Thurber,Jason Sudeikis,Jennifer Aniston,Emma Roberts,R
Terminator 3: Rise of the Machines,150000000.0,Jonathan Mostow,Arnold Schwarzenegger,Nick Stahl,Kristanna Loken,R
